workcenter,product,plannedProduction,good,rework,scrap,shift,plannedStop,unPlannedStop,date
Workcenter 1,refrigerante laranja,400,280,80,120,7,1,2.5,02/11/2020
Workcenter 2,refrigerante laranja,150,90,30,15,7,2,2,02/11/2020
Workcenter 3,refrigerante limao,600,480,180,30,7,1,1.5,02/11/2020
Workcenter 1,refrigerante laranja,250,175,13,75,7,1,1,03/11/2020
Workcenter 2,refrigerante cola,350,175,35,35,6,2,1,03/11/2020
Workcenter 3,refrigerante laranja,150,90,8,45,7,2,1,03/11/2020
Workcenter 1,refrigerante laranja,450,405,23,90,7,1,0.5,04/11/2020
Workcenter 2,refrigerante cola,400,320,40,80,7,2,1.5,04/11/2020
Workcenter 3,refrigerante laranja,450,315,45,45,8,1,2.5,04/11/2020
Workcenter 1,refrigerante cola,550,330,55,55,7,2,1,05/11/2020
Workcenter 2,refrigerante laranja,150,105,15,15,6,1,1,05/11/2020
Workcenter 3,refrigerante limao,450,270,90,23,6,2,1.5,05/11/2020
Workcenter 1,refrigerante laranja,200,180,40,20,8,2,2.5,06/11/2020
Workcenter 2,refrigerante cola,150,135,15,45,8,2,0.5,06/11/2020
Workcenter 3,refrigerante cola,500,350,25,50,8,1,2,06/11/2020
Workcenter 1,refrigerante laranja,300,270,60,90,8,2,0.5,09/11/2020
Workcenter 2,refrigerante cola,600,420,30,120,7,1,1.5,09/11/2020
Workcenter 3,refrigerante cola,200,100,40,40,6,2,1.5,09/11/2020
Workcenter 1,refrigerante cola,350,210,18,105,6,1,2.5,10/11/2020
Workcenter 2,refrigerante limao,400,240,20,80,8,1,1.5,10/11/2020
Workcenter 3,refrigerante limao,200,140,60,40,8,1,2,10/11/2020
Workcenter 1,refrigerante laranja,250,200,13,50,8,2,1,11/11/2020
Workcenter 2,refrigerante limao,450,360,23,90,6,2,0.5,11/11/2020
Workcenter 3,refrigerante laranja,350,210,105,70,7,1,2.5,11/11/2020
Workcenter 1,refrigerante cola,250,175,50,75,7,2,2,12/11/2020
Workcenter 2,refrigerante limao,550,385,110,110,7,2,0.5,12/11/2020
Workcenter 3,refrigerante laranja,550,330,28,110,7,1,2.5,12/11/2020
Workcenter 1,refrigerante laranja,400,360,40,80,6,1,2.5,13/11/2020
Workcenter 2,refrigerante laranja,150,120,45,15,8,2,0.5,13/11/2020
Workcenter 3,refrigerante laranja,200,180,40,40,6,1,2,13/11/2020
Workcenter 1,refrigerante laranja,500,350,50,100,7,1,1.5,16/11/2020
Workcenter 2,refrigerante cola,250,225,75,75,6,2,2.5,16/11/2020
Workcenter 3,refrigerante cola,350,315,105,105,8,1,1,16/11/2020
Workcenter 1,refrigerante cola,200,140,10,10,6,1,0.5,17/11/2020
Workcenter 2,refrigerante limao,300,270,15,60,8,1,2.5,17/11/2020
Workcenter 3,refrigerante laranja,300,210,60,15,6,1,2,17/11/2020
Workcenter 1,refrigerante cola,350,210,35,35,8,1,1,18/11/2020
Workcenter 2,refrigerante laranja,500,250,100,25,8,1,1,18/11/2020
Workcenter 3,refrigerante cola,200,120,10,40,7,1,1,18/11/2020
Workcenter 1,refrigerante limao,500,250,150,50,8,2,1.5,19/11/2020
Workcenter 2,refrigerante limao,250,200,25,13,8,1,1,19/11/2020
Workcenter 3,refrigerante limao,300,240,30,90,8,1,0.5,19/11/2020
Workcenter 1,refrigerante cola,400,280,40,120,6,2,1.5,20/11/2020
